iter	RMSE
308	156.6087173
309	156.5847694
310	156.5553379
311	156.5296707
312	156.5134744
313	156.4902535
314	156.4692043
315	156.4536484
316	156.4228183
317	156.3989573
318	156.366571
319	156.3426431
320	156.3266382
321	156.3014271
322	156.2860178
323	156.2669783
324	156.2443286
325	156.2211614
326	156.2009437
327	156.1866636
328	156.1690281
329	156.1529264
330	156.1261992
331	156.1114274
332	156.0876338
333	156.070733
334	156.0470923
335	156.0321853
336	156.007017
337	155.9886162
338	155.957358
339	155.938214
340	155.9176075
341	155.9046683
342	155.8805227
343	155.860411
344	155.8441193
345	155.8210761
346	155.7997175
347	155.778163
348	155.764765
349	155.7473018
350	155.7316695
351	155.714498
352	155.6966087
353	155.6810069
354	155.6572854
355	155.6412537
356	155.6162247
357	155.5873063
358	155.569993
359	155.5532334
360	155.5376923
361	155.518013
362	155.4970382
363	155.475736
364	155.4556869
365	155.4418799
366	155.4205711
367	155.4032949
368	155.3839531
369	155.3637641
370	155.3501557
371	155.3329688
372	155.3120111
373	155.2950666
374	155.2797511
375	155.2619339
376	155.24571
377	155.2338472
378	155.2182782
379	155.2004727
380	155.178244
381	155.1586852
382	155.1410008
383	155.1253328
384	155.1140504
385	155.0926228
386	155.0743935
387	155.0492344
388	155.0337401
389	155.0169812
390	154.9983061
391	154.9772671
392	154.9602623
393	154.940382
394	154.9285617
395	154.9057044
396	154.8921809
397	154.8765484
398	154.8551831
399	154.8368118
400	154.821182
401	154.8030482
402	154.7903064
403	154.7750759
404	154.7600745
405	154.7423362
406	154.7303673
407	154.7132526
408	154.6991524
409	154.6807164
410	154.6635948
411	154.6492574
412	154.6329346
413	154.6110906
414	154.5954686
415	154.5700175
416	154.5563888
417	154.5418214
418	154.5245256
419	154.5083721
420	154.4936586
421	154.4723744
422	154.4644048
423	154.4506343
424	154.4320083
425	154.4197826
426	154.404867
427	154.3889394
428	154.3705782
429	154.3555233
430	154.3332206
431	154.3207241
432	154.3099019
433	154.2973307
434	154.2849001
435	154.2696069
436	154.2523338
437	154.2211485
438	154.2039133
439	154.188735
440	154.1767958
441	154.1592317
442	154.1497563
443	154.1309419
444	154.115178
445	154.1041299
446	154.0882563
447	154.0761497
448	154.0685637
449	154.0561024
450	154.0392578
451	154.0218341
452	154.0126752
453	154.0000543
454	153.9840773
455	153.9671015
456	153.9509288
457	153.9362722
458	153.9253121
459	153.9127788
460	153.9045146
461	153.8756743
462	153.8602275
463	153.8519561
464	153.8366625
465	153.8248313
466	153.8161889
467	153.8078786
468	153.7945114
469	153.784441
470	153.770243
471	153.7537078
472	153.7424084
473	153.7329178
474	153.7133763
475	153.7007029
476	153.678446
477	153.665686
478	153.6512575
479	153.5719036
480	153.5598006
481	153.5492685
482	153.5293174
483	153.516756
484	153.4995469
485	153.4873579
486	153.4736772
487	153.4648218
488	153.4503419
489	153.4385276
490	153.4303719
491	153.4237273
492	153.4110828
493	153.3972297
494	153.3813534
495	153.3723195
496	153.3523342
497	153.3435954
498	153.3312659
499	153.3171502
500	153.3048613
501	153.2936833
502	153.2836931
503	153.2688153
504	153.1914589
505	153.1776859
506	153.1662122
507	153.1502719
508	153.1356363
509	153.1237527
510	153.1119685
511	153.1031958
512	153.0778442
513	153.065681
514	153.0557062
515	153.0368074
516	153.0225947
517	153.0101705
518	152.9998201
519	152.9867727
520	152.9773756
521	152.9616103
522	152.9526726
523	152.939098
524	152.928952
525	152.9164281
526	152.8405934
527	152.8307951
528	152.8159246
529	152.8055241
530	152.7978723
531	152.7809525
532	152.765306
533	152.7535933
534	152.740941
535	152.7190759
536	152.7100965
537	152.6944845
538	152.6750622
539	152.6639672
540	152.6575746
541	152.6457708
542	152.6377518
543	152.6269893
544	152.6042316
545	152.5952134
546	152.5797104
547	152.5676497
548	152.552582
549	152.5425373
550	152.5333975
551	152.5208831
552	152.5107268
553	152.4992484
554	152.4904947
555	152.4829923
556	152.468632
557	152.4563284
558	152.4444744
559	152.42653
560	152.4181543
561	152.4070018
562	152.3938463
563	152.3782506
564	152.371344
565	152.3587383
566	152.3431136
567	152.334329
568	152.3214196
569	152.3082804
570	152.2983426
571	152.2851108
572	152.2664724
573	152.2497846
574	152.2350838
575	152.2240004
576	152.2132883
577	152.2030292
578	152.1963605
579	152.1870307
580	152.1727273
581	152.1580588
582	152.1429887
583	152.1303364
584	152.1157774
585	152.1055089
586	152.0997593
587	152.0254475
588	152.0138355
589	151.9917433
590	151.9806889
591	151.9693457
592	151.9593752
593	151.9538816
594	151.9421267
595	151.9352608
596	151.9210311
597	151.9100061
598	151.8919291
599	151.8814126
600	151.8649695
601	151.8478163
602	151.8348027
603	151.8144145
604	151.8079531
605	151.7933216
606	151.7744802
607	151.7596935
608	151.7503738
609	151.7387312
610	151.7222738
611	151.7091026
612	151.696564
613	151.6832814
614	151.6762582
615	151.6692699
616	151.6626163
617	151.6523203
618	151.6420237
619	151.628194
620	151.6153982
621	151.6038182
622	151.5967704
623	151.582416
624	151.5713874
625	151.5618913
626	151.5499636
627	151.5419074
628	151.5328256
629	151.5249246
630	151.5129002
631	151.5028012
632	151.4917943
633	151.4835106
634	151.4764799
635	151.4655468
636	151.4604813
637	151.4517549
638	151.4415645
639	151.4325733
640	151.4212588
641	151.405472
642	151.3958806
643	151.385096
644	151.3715545
645	151.3667462
646	151.3575341
647	151.3460351
648	151.3320922
649	151.3210973
650	151.3107535
651	151.2989046
652	151.2839391
653	151.2759889
654	151.2651739
655	151.2525615
656	151.2388296
657	151.233366
658	151.2211833
659	151.2070105
660	151.1960331
661	151.1888234
662	151.1815497
663	151.169263
664	151.1590653
665	151.1477307
666	151.1422708
667	151.1307089
668	151.1261224
669	151.1188582
670	151.1074296
671	151.0945821
672	151.0771167
673	151.0645498
674	151.0531293
